split,held_out_participants,selected_lambda,mae_difference_tilted_minus_linear,held_out_participants_favoring_tilted
1,p07;p09;p10,8.9,-0.0970302002006751,2
2,p01;p02;p03,9.3,-0.021154610840847392,2
3,p06;p09;p15,9.3,-0.1720389763876872,3
4,p03;p05;p09,6.2,-0.1307388474829644,2
5,p05;p07;p15,6.2,-0.07813586086596332,1
6,p02;p11;p12,4.4,-0.08828608675498102,2
7,p01;p07;p08,9.3,-0.21810694462419333,3
8,p04;p09;p14,13.2,-0.11154205319268169,2
9,p01;p02;p11,5.4,-0.07434346537811314,3
10,p02;p08;p10,9.3,-0.0695986847794839,1
11,p01;p03;p14,6.2,-0.010495694784101431,2
12,p05;p09;p14,8.9,-0.08282698489699154,2
13,p01;p11;p12,4.4,-0.10869459672241906,3
14,p01;p05;p13,9.3,0.05878104835188188,1
15,p01;p02;p06,9.4,-0.08081445893161276,2
16,p02;p10;p12,9.3,0.06749535207804129,0
17,p08;p10;p12,9.3,-0.044038259344465557,1
18,p04;p09;p12,8.9,-0.15669883364303927,2
19,p04;p09;p11,13.2,-0.12568687546279778,2
20,p06;p10;p15,9.3,-0.0571378996278246,2
21,p01;p12;p15,9.3,-0.16553513875149387,3
22,p04;p06;p11,10.6,-0.11830067108614258,2
23,p06;p07;p10,14.4,-0.2239649989309791,3
24,p01;p12;p13,9.3,-0.061782385624172965,2
25,p02;p12;p13,9.3,-0.03839594742194156,1
26,p01;p04;p07,8.9,-0.13346507725964185,2
27,p02;p03;p14,6.2,0.016419613138606032,1
28,p12;p13;p14,8.9,-0.09628887596055309,2
29,p02;p04;p14,8.9,-0.009864433409095263,1
30,p06;p09;p13,9.4,-0.10933384218981268,2
31,p08;p13;p15,9.3,-0.16812486006098037,2
32,p04;p06;p13,14.4,-0.001822289607854577,1
33,p10;p13;p15,9.3,0.03968420145272248,1
34,p01;p04;p13,6.2,0.013634263032374841,1
35,p03;p10;p11,8.9,-0.11583508198156596,2
36,p01;p10;p11,4.4,-0.0367785436036436,2
37,p01;p04;p05,6.2,0.02575102471525918,1
38,p01;p06;p13,9.3,-0.05558222422222995,2
39,p09;p12;p13,6.2,-0.14845762678475896,2
40,p04;p08;p10,6.2,-0.03991471877109095,1
41,p09;p10;p14,8.9,-0.028249682650569336,2
42,p01;p06;p10,9.3,-0.07418501548294176,2
43,p10;p11;p13,8.9,-0.034881089322174486,1
44,p03;p09;p15,9.3,-0.13546728440134972,3
45,p05;p09;p10,6.2,0.02413322020519182,1
46,p04;p05;p07,13.2,-0.037011746137039024,1
47,p02;p13;p15,9.3,-0.013234586964582759,2
48,p03;p07;p09,8.9,-0.2210013065476102,3
49,p08;p13;p14,6.2,-0.05390280561176412,2
50,p01;p07;p09,6.2,-0.1600365451543522,3
51,p05;p13;p15,9.3,0.08404526411441182,1
52,p08;p11;p12,4.4,-0.11577751016277071,3
53,p11;p14;p15,8.9,-0.14450354693762524,3
54,p03;p04;p09,8.9,-0.11826499293550545,2
55,p07;p11;p12,13.2,-0.19987835691645092,3
56,p02;p06;p14,9.4,-0.1101476755661724,2
57,p01;p08;p15,9.4,-0.31716266530547466,3
58,p01;p07;p10,6.2,-0.0794209625516407,2
59,p02;p04;p06,9.4,-0.04354951567014268,1
60,p06;p07;p14,10.6,-0.22959941097885203,3
61,p06;p08;p09,9.3,-0.189240432959924,3
62,p03;p08;p10,9.3,-0.1663070065019873,2
63,p04;p12;p14,13.2,-0.0939061483518691,2
64,p06;p08;p12,9.3,-0.18398221870924983,3
65,p11;p12;p15,4.4,-0.11897875775669668,3
66,p04;p05;p08,6.2,-0.003844358400940514,1
67,p02;p05;p12,9.3,-0.032033102208025944,1
68,p02;p06;p10,9.3,-0.06628372032364489,1
69,p05;p08;p12,9.3,-0.08893648782386172,2
70,p02;p14;p15,7.6,-0.030972788622380103,3
71,p01;p12;p14,6.2,-0.13165527172857336,3
72,p07;p08;p09,6.2,-0.18236876371300403,3
73,p12;p14;p15,6.2,-0.08596074528506736,3
74,p03;p08;p13,9.3,-0.1066315407406943,2
75,p02;p05;p15,9.3,0.04577981432231193,1
76,p01;p02;p07,9.3,-0.13520176887272972,2
77,p05;p06;p07,14.4,-0.1469859810780255,2
78,p04;p05;p14,13.2,0.10039198401307296,1
79,p01;p06;p15,9.4,-0.12558007950077835,3
80,p04;p05;p15,6.2,0.07036027074761068,0
81,p08;p09;p15,9.3,-0.30732427077047825,3
82,p07;p10;p14,13.2,-0.15882077272044795,3
83,p06;p12;p15,9.3,-0.1525533945790222,3
84,p06;p09;p14,14.4,-0.18732437942078098,3
85,p02;p06;p12,9.3,-0.13691373146991392,2
86,p09;p13;p15,9.3,-0.09223817679533848,2
87,p07;p08;p15,9.3,-0.3299157561051311,3
88,p03;p13;p14,8.9,-0.0005296014478483416,1
89,p02;p08;p12,9.3,-0.139802450811053,3
90,p03;p07;p15,6.2,-0.12355376952736274,3
91,p02;p07;p14,8.9,-0.1543057678222857,2
92,p04;p13;p15,6.2,0.02467543433150432,1
93,p08;p11;p13,4.4,-0.06584393288353725,2
94,p01;p09;p12,9.3,-0.20305832959368905,3
95,p04;p11;p15,8.9,-0.16933705296668689,3
96,p06;p07;p15,9.4,-0.20961057703161315,3
97,p01;p05;p08,9.3,-0.045115569477530516,2
98,p10;p12;p15,9.3,0.06835366827483232,1
99,p03;p07;p11,13.2,-0.11036615514814474,2
100,p06;p10;p13,9.4,-0.05234774812758617,2
101,p03;p12;p14,8.9,-0.13396510700117603,2
102,p06;p11;p14,10.6,-0.16944763281861033,3
103,p06;p09;p10,9.4,-0.06446582154832277,2
104,p02;p05;p09,9.3,-0.02882694258136916,1
105,p05;p09;p13,6.2,-0.032722127578089344,1
106,p05;p13;p14,8.9,0.004393849136140197,1
107,p01;p06;p08,9.4,-0.16235178564120512,3
108,p03;p09;p11,8.9,-0.1479130339993906,3
109,p05;p11;p12,8.9,-0.09399262111921176,2
110,p01;p03;p10,9.3,-0.03333526011956615,2
111,p04;p08;p12,6.2,-0.10501969726722578,2
112,p02;p07;p15,9.3,-0.17669890979333988,3
113,p02;p07;p08,9.3,-0.19516456567528892,3
114,p01;p04;p11,8.9,-0.09648678645852526,3
115,p06;p11;p13,14.4,-0.08783891159537609,2
116,p01;p02;p08,9.4,-0.13413560392188661,3
117,p09;p13;p14,8.9,-0.10338499224743607,2
118,p08;p12;p13,9.3,-0.08914980211056951,2
119,p10;p11;p15,4.4,-0.02815782448227022,2
120,p02;p09;p14,6.2,-0.10575729062161325,2
121,p03;p04;p13,8.9,0.035210748915106414,1
122,p01;p10;p13,9.3,0.03510804230078882,1
123,p05;p08;p13,9.3,0.007568267664609903,1
124,p05;p08;p09,9.3,-0.09091075139734588,2
125,p03;p05;p12,6.2,-0.003711309730086857,1
126,p02;p06;p11,11.8,-0.12732774367524677,3
127,p05;p07;p11,13.2,-0.12018873743747134,2
128,p01;p03;p09,9.3,-0.165197199262877,3
129,p01;p05;p15,9.3,0.009441464463677699,2
130,p01;p08;p10,9.3,-0.08990382530501322,2
131,p03;p14;p15,6.2,0.003758595011497482,1
132,p06;p13;p14,14.4,-0.09279884117920274,2
133,p04;p08;p14,9.1,-0.09114596623975353,2
134,p01;p03;p07,6.2,-0.10086747600446395,2
135,p03;p04;p07,13.2,-0.0856973958360121,1
136,p08;p09;p11,4.4,-0.12276489123737185,3
137,p01;p06;p14,9.4,-0.12796531941186848,3
138,p09;p14;p15,6.2,-0.10171128591907934,3
139,p08;p10;p13,9.3,-0.04016293957569298,1
140,p04;p06;p12,14.4,-0.1022236278909252,2
141,p03;p06;p13,9.4,-0.04239082178563103,1
142,p03;p09;p13,6.2,-0.13269521950548002,2
143,p07;p08;p10,6.2,-0.13214478220569634,2
144,p01;p05;p14,6.2,-0.03923497757116327,2
145,p04;p13;p14,13.2,0.015419024694339608,1
146,p04;p06;p10,14.4,-0.09328102902737267,2
147,p05;p09;p15,9.3,-0.05233344524405411,2
148,p07;p11;p14,10.6,-0.20153610170630262,3
149,p02;p04;p08,9.3,-0.09463737888768335,2
150,p02;p08;p11,5.4,-0.11523561183920905,3
151,p02;p10;p13,9.3,0.047003302121827684,0
152,p11;p13;p15,4.4,-0.05067568278845277,2
153,p03;p07;p10,8.9,-0.13817315903508312,2
154,p01;p03;p05,9.3,0.06387179512569963,1
155,p07;p09;p11,13.2,-0.2058351351275384,3
156,p04;p08;p09,6.2,-0.11503141779916663,2
157,p01;p03;p13,9.3,0.0014427871629420312,2
158,p01;p05;p06,9.3,-0.04671648507646875,2
159,p03;p04;p10,8.9,-0.020909094623872953,1
160,p01;p11;p14,8.9,-0.11854892516694104,3
161,p01;p03;p12,9.3,-0.1313433049423397,3
162,p05;p08;p10,9.3,-0.018532987836440196,1
163,p05;p06;p10,9.4,-0.05714948226614269,2
164,p02;p07;p11,8.9,-0.15815417660366907,2
165,p06;p13;p15,9.3,-0.04484372241187932,2
166,p01;p09;p10,9.3,-0.014170273739945985,2
167,p01;p08;p11,5.4,-0.1425315727335501,3
168,p04;p07;p12,13.2,-0.1755297510963537,2
169,p10;p11;p12,8.9,-0.05815827990632805,2
170,p02;p05;p10,9.3,0.057539113211810156,0
171,p03;p06;p14,14.4,-0.10558242798373607,2
172,p10;p12;p14,8.9,0.03939749202375564,1
173,p01;p02;p10,9.3,0.01412852536950752,1
174,p01;p03;p06,9.3,-0.07661137553010611,2
175,p08;p09;p13,9.3,-0.11065329142680258,2
176,p05;p07;p08,6.2,-0.12766488894858954,2
177,p05;p12;p13,6.2,-0.04423404022527788,1
178,p02;p05;p13,9.3,0.08188414330096139,0
179,p03;p04;p05,8.9,0.11172805518102846,0
180,p06;p12;p14,14.4,-0.18852959937561176,3
181,p06;p07;p09,14.4,-0.22373172167532066,3
182,p04;p07;p14,10.6,-0.16523864533500798,2
183,p03;p06;p15,9.3,-0.11076528840661266,3
184,p02;p06;p09,9.3,-0.13280434974575273,3
185,p01;p07;p15,9.3,-0.21033508489077188,3
186,p11;p12;p13,8.9,-0.08261942857342912,2
187,p03;p06;p10,9.4,-0.10720149283982372,3
188,p01;p02;p09,9.3,-0.11454926856752816,3
189,p04;p10;p14,13.2,-0.03816578538399303,2
190,p02;p08;p15,9.4,-0.26308879162796334,3
191,p07;p10;p15,6.2,-0.06852382014947984,1
